first_author,year,title
Danby,2007,Evidence of recent treeline dynamics in southwest Yukon from aerial photographs
Delava,2014,The rapid northward shift of the range margin of a Mediterranean parasitoid insect (Hymenoptera) associated with regional climate warming
Dobbertin,2005,The upward shift in altitude of pine mistletoe (Viscum album ssp. austriacum) in Switzerland—the result of climate warming?
Gamache,2005,Latitudinal response of subarctic tree lines to recent climate change in eastern Canada
Jones,2010,"Rising environmental temperatures and biogeography: poleward range contraction of the blue mussel, Mytilus edulis L., in the western Atlantic"
Kawakami,2014,Northward expansion and climatic factors affecting the distribution limits of Cheilomenes sexmaculata (Coleoptera: Coccinellidae) in Japan
Virtanen,2010,"Recent vegetation changes at the high-latitude tree line ecotone are controlled by geomorphological disturbance, productivity and diversity"
Boisvert-Marsh,2014,Shifting with climate? Evidence for recent changes in tree species distribution at high latitudes
Hiddink,2015,Temperature tracking by North Sea benthic invertebrates in response to climate change
Akatov,2009,Changes in the upper limits of tree species distribution in the Western Caucasus (Belaya River basin) related to recent climate warming
Bowman,2005,Northern range boundary dynamics of southern flying squirrels: evidence of an energetic bottleneck
Savage,2015,"Elevational shifts, biotic homogenization and time lags in vegetation change during 40 years of climate warming"
Bulgarella,2014,Shifting ranges of two tree weta species (Hemideina spp.): competitive exclusion and changing climate
Courtin,2010,Updating the northern tsetse limit in Burkina Faso (1949-2009): impact of global change
Song,2013,"Climate warming-induced upward shift of Moso bamboo population on Tianmu Mountain, China"
Botts,2015,Observed range dynamics of South African amphibians under conditions of global change
Chust,2014,Are Calanus spp. shifting poleward in the North Atlantic? A habitat modelling approach
Mathisen,2014,"Fifty years of tree line change in the Khibiny Mountains, Russia: advantages of combined remote sensing and dendroecological approaches"
Melles,2011,"Expanding northward: influence of climate change, forest connectivity, and population processes on a threatened species’ range shift"
Orensanz,2004,Contraction of the geographical range of distribution of snow crab (Chionoecetes Opilio) in the Eastern Bering Sea: an environmental ratchet??
Hofgaard,2013,Latitudinal forest advance in northernmost Norway since the early 20th century
Kullman,2009,Post-Little Ice Age tree line rise and climate warming in the Swedish Scandes: a landscape ecological perspective
Leonelli,2011,Climate warming and the recent treeline shift in the European Alps: the role of geomorphological factors in high-altitude sites
Feeley,2011,Upslope migration of Andean trees
Greenwood,2014,Strong topographic sheltering effects lead to spatially complex treeline advance and increased forest density in a subtropical mountain region
Péron,2010,Interdecadal changes in at-sea distribution and abundance of subantarctic seabirds along a latitudinal gradient in the Southern Indian Ocean
Moreno-Rueda,2012,Northward shifts of the distributions of Spanish reptiles in association with climate change
Chen,2009,Elevation increases in moth assemblages over 42 years on a tropical mountain
Chen,2011,Asymmetric boundary shifts of tropical montane Lepidoptera over four decades of climate warming
Kreuser,2013,thesis
Batdorf,2012,thesis
Hargrove,2010,thesis
Greenlee,2012,thesis
Lättman,2009,Changes in the distributions of epiphytic lichens in southern Sweden using a new statistical method
Stuart-Smith,2010,Stability in temperate reef communities over a decadal time scale despite concurrent ocean warming
Virkkala,2014,Patterns of climate-induced density shifts of species: poleward shifts faster in northern boreal birds than in southern birds
Eskildsen,2013,Testing species distribution models across space and time: high latitude butterflies and recent warming
Tingley,2012,The push and pull of climate change causes heterogeneous shifts in avian elevational ranges
Bebber,2013,Crop pests and pathogens move polewards in a warming world
Pinsky,2013,Marine taxa track local climate velocities
Wilson,2005,Changes to the elevational limits and extent of species ranges associated with climate change
Rowe,2010,Range dynamics of small mammals along an elevational gradient over an 80-year interval
Gonzalez,2001,Desertification and a shift of forest species in the West African Sahel
Frei,2010,Plant species’ range shifts in mountainous areas—all uphill from here?
Niven,2010,Christmas bird counts and climate change: northward shifts in early winter abundance
Botts,2012,thesis
Berke,2010,Range shifts and species diversity in marine ecosystem engineers: patterns and predictions for European sedimentary habitats
Wethey,2008,Ecological hindcasting of biogeographic responses to climate change in the European intertidal zone
Duarte,2013,Recent and historical range shifts of two canopy-forming seaweeds in north Spain and the link with trends in sea surface temperature
Engelhard,2014,Climate change and fishing: a century of shifting distribution in North Sea cod
Santos,2015,Synchronicity in elevation range shifts among small mammals and vegetation over the last century is stronger for omnivores
Mason,2015,Geographical range margins of many taxonomic groups continue to shift polewards
Wu,2016,Can changes in the distribution of lizard species over the past 50 years be attributed to climate change?
Moskwik,2014,Recent elevational range expansions in plethodontid salamanders (Amphibia: Plethodontidae) in the southern Appalachian Mountains
Kotwicki,2013,Detecting temporal trends and environmentally-driven changes in the spatial distribution of bottom fishes and crabs on the eastern Bering Sea shelf
Reif,2012,The role of species’ ecological traits in climatically driven altitudinal range shifts of central European birds
Hassall,2015,Odonata as candidate macroecological barometers for global climate change
Tayleur,2015,Swedish birds are tracking temperature but not rainfall: evidence from a decade of abundance changes
Kerr,2015,Climate change impacts on bumblebees converge across continents
Wu,2016,Detecting and attributing the effects of climate change on the distributions of snake species over the past 50 years
Pakeman,2015,Species composition of coastal dune vegetation in Scotland has proved resistant to climate change over a third of a century
Myers,2009,Climate-induced changes in the small mammal communities of the Northern Great Lakes Region
Rappole,2011,Range change among new world tropical and subtropical birds
Stafford,2013,A visual method to identify significant latitudinal changes in species’ distributions
Flousek,2015,Population trends of central European montane birds provide evidence for adverse impacts of climate change on high-altitude species
Lehikoinen,2016,North by north-west: climate change and directions of density shifts in birds
Välimäki,2016,Velocity of density shifts in Finnish landbird species depends on their migration ecology and body mass
Wu,2016,Attribution index for changes in migratory bird distributions: the role of climate change over the past 50 years in China
Hill,2016,Dynamic habitat suitability modelling reveals rapid poleward distribution shift in a mobile apex predator
Wolf,2016,Altitudinal shifts of the native and introduced flora of California in the context of 20th-century warming
van Hal,2010,How climate warming impacts the distribution and abundance of two small flatfish species in the North Sea
Sabatés,2006,"Sea warming and fish distribution: the case of the small pelagic fish, Sardinella aurita, in the western Mediterranean"
Lindley,2005,Variations in the distributions of Centropages chierchiae and Temora stylifera (Copepoda: Calanoida) in the north-eastern Atlantic Ocean and western European shelf waters
Yamano,2011,Rapid poleward range expansion of tropical reef corals in response to rising sea surface temperatures
Yemane,2014,Assessing changes in the distribution and range size of demersal fish populations in the Benguela Current Large Marine Ecosystem
Máliš,2016,"Life stage, not climate change, explains observed tree range shifts"
MacLaren,2016,Climate change drives decline of Juniperus seravschanica in Oman
Potvin,2016,Differences in shifts of wintering and breeding ranges lead to changing migration distances in European birds
Kuhn,2016,Early signs of range disjunction of submountainous plant species: an unexplored consequence of future and contemporary climate changes
Sultaire,2016,Climate change surpasses land-use change in the contracting range boundary of a winter-adapted mammal
Pernollet,2015,Regional changes in the elevational distribution of the Alpine Rock Ptarmigan Lagopus muta helvetica in Switzerland
Pyke,2016,Effects of climate change on phenologies and distributions of bumble bees and the plants they visit
Kuletz,2014,Changes in the distribution and abundance of albatrosses in the eastern Bering Sea: 1975–2010
Renner,2013,Modeled distribution and abundance of a pelagic seabird reveal trends in relation to fisheries
Hovick,2016,Informing conservation by identifying range shift patterns across breeding habitats and migration strategies
Gregory,2009,Rapid biogeographical plankton shifts in the North Atlantic Ocean
Fenberg,2011,"Range limits and geographic patterns of abundance of the rocky intertidal owl limpet, Lottia gigantea"
Jones,2012,Climate change and historical biogeography of the barnacle Semibalanus balanoides
Landa,2014,"Recruitment, distribution boundary and habitat temperature of an arcto-boreal gadoid in a climatically changing environment: a case study on Northeast Arctic haddock (Melanogrammus aeglefinus)"
Wells,2014,"Range collapse in the Diana fritillary, Speyeria diana (Nymphalidae)"
Wilson,2013,Citizen science reveals an extensive shift in the winter distribution of migratory western grebes
Ling,2009,Climate-driven range extension of a sea urchin: inferring future trends by analysis of recent population dynamics
Stueve,2011,Spatial variability of biotic and abiotic tree establishment constraints across a treeline ecotone in the Alaska Range
Vittoz,2008,"One century of vegetation change on Isla Persa, a nunatak in the Bernina massif in the Swiss Alps"
Rannow,2013,Do shifting forest limits in south-west Norway keep up with climate change?
Merrill,2008,Combined effects of climate and biotic interactions on the elevational range of a phytophagous insect
